id,orderId,userId,type,description,reportedAt,attachments,severity,status,resolvedAt,resolvedBy,issueRef
253db228-f565-43ef-bcde-e1a30c6f302e,COM-56472,USR-3587,LivraisonRetard,"J'ai attendu 2 heures pour ma commande, très frustrant.",3/19/2025 15:16,image_8453.jpg,élevé,Escaladé,,,REF-185737
ffe6d842-ac29-4098-91f8-ff077f01f179,COM-86154,USR-6050,ArticleManquant,"Commande incomplète, pizza non livré.",6/2/2025 15:16,,faible,Résolu,6/4/2025 2:16,MOD-15,REF-671383
14853e31-611d-4095-b8ab-fbeec98096a9,COM-52161,USR-7738,MauvaiseQualité,"sushi avait un goût trempé, expérience horrible.",7/6/2024 15:16,image_3151.jpg,élevé,Résolu,7/6/2024 16:16,MOD-13,REF-374689
98472235-bd2b-4605-96fb-b793e3db317b,COM-97412,USR-8971,ServiceClient,"Service client correct, mais pourrait être plus rapide.",4/26/2025 15:16,,faible,Résolu,4/28/2025 4:16,MOD-5,REF-436592
951667e5-fbe0-4f00-9f3e-777bc6a536d1,COM-13547,USR-7549,NourritureEndommagée,"Commande endommagée, frites était légèrement gâté.",4/23/2025 15:16,image_3712.jpg,élevé,Ouvert,,,REF-144800
379e29ba-a271-4263-b13b-1bb4e347e529,COM-18897,USR-4431,NourritureEndommagée,"pâtes était sans goût, qualité inacceptable.",7/12/2024 15:16,,élevé,Ouvert,,,REF-796907
9608c3c9-96c3-461d-b338-d4c40ea2f3a8,COM-59496,USR-8092,CommandeErronée,"Commande incorrecte, mais le goût de dessert était acceptable.",10/17/2024 15:16,"image_6289.jpg,image_7626.jpg",moyen,Résolu,10/18/2024 17:16,MOD-15,REF-103944
dbb38ea1-51ce-45d0-bf83-62819f7269d1,COM-18272,USR-8829,MauvaiseQualité,"boisson n'était pas terrible, qualité moyenne.",12/16/2024 15:16,,faible,Ouvert,,,REF-498626
d5ba031c-6706-4b7c-bd92-262dc91f79af,COM-66375,USR-5958,ProblèmePaiement,"Problème de paiement, remboursement requis immédiatement.",9/15/2024 15:16,image_1547.jpg,élevé,Ouvert,,,REF-566639
c4cc8090-8617-438b-987d-1ed23be848a3,COM-13423,USR-4272,ServiceClient,"Service client injoignable, c'est insupportable !",8/15/2024 15:16,image_9757.jpg,élevé,Ouvert,,,REF-154385
8424cbfa-1d1d-4bd4-bb77-3a0805766fca,COM-72444,USR-6933,ProblèmePaiement,"Problème de paiement, remboursement requis immédiatement.",4/22/2025 15:16,image_2490.jpg,élevé,Escaladé,,,REF-937413
0fbe02f1-bc4c-4157-b8e1-56e50dfa1d4f,COM-19943,USR-8185,MauvaiseQualité,"boisson était mal emballé, totalement dégoûtant !",9/17/2024 15:16,image_4345.jpg,élevé,Escaladé,,,REF-822636
21cd87d4-2406-4520-948b-6b0a72974d42,COM-96063,USR-8309,LivraisonRetard,"La nourriture est arrivée avec 30 minutes de retard, service décevant.",10/28/2024 15:16,image_9496.jpg,élevé,Résolu,10/28/2024 22:16,MOD-9,REF-402440
